commit_hash	fecha_iso	fecha_timestamp	acceptance_tests_agregados	acceptance_tests_modificados	acceptance_tests_eliminados	unit_tests_agregados	unit_tests_modificados	unit_tests_eliminados	codigo_agregados	codigo_modificados	codigo_eliminados	otro_agregados	otro_modificados	otro_eliminados
9a3a33732a3e5f177d631167475d5efbf61811d6	"2012-12-13 09:32:29 +0100"	1355387549	0	0	0	0	0	0	0	0	0	0	6	0
2a0bee25efaa4f49ff998540abe4d11e16ef897b	"2012-12-14 13:27:25 +0100"	1355488045	0	5	0	0	12	0	1	12	1	0	1	0
f2c29e5c31d5cdaa14d206cba838a5aa657b1ac4	"2012-12-14 13:27:35 +0100"	1355488055	0	0	0	0	0	0	0	1	0	0	0	0
58d952cdfa1fda353a48ee20a53daf53c83aad1b	"2012-12-14 19:18:25 +0100"	1355509105	0	1	0	0	3	0	0	4	0	0	0	0
8f2969498fc267c280bb91128d6287930b37f691	"2012-12-14 19:40:56 +0100"	1355510456	0	0	0	0	5	0	0	3	0	0	0	0
d15c5a848a8509129b5018371c981a7b125ed505	"2012-12-14 20:30:28 +0100"	1355513428	0	0	0	0	1	1	0	6	0	0	1	0
e6063bc319d6e5300260f10e20150f1552abcc06	"2012-12-15 00:31:05 +0100"	1355527865	0	1	0	0	16	0	0	4	0	0	1	0
dce31b05e9c2f7a00ab549663603c913599739e9	"2012-12-15 00:56:11 +0100"	1355529371	0	0	0	0	7	0	0	3	0	0	0	0
00dbffeb8d2a8f6a2410e232f488ae6584c608c3	"2012-12-15 01:00:45 +0100"	1355529645	0	0	0	0	0	0	0	3	0	0	0	0
4fa7d92b99120f755badb71bfcba646a35e091c0	"2012-12-17 12:28:28 +0100"	1355743708	0	0	0	0	0	0	0	0	0	1	5	0
cd4877d738837dd04b76105d34a0b1bae08d35a5	"2012-12-17 12:28:44 +0100"	1355743724	0	0	0	0	0	0	0	0	0	0	0	2
70b12d814c8e6e5c290366df8e12a50347724aa5	"2012-12-17 13:00:34 +0100"	1355745634	0	0	0	0	0	0	0	0	0	1	0	0
bfa9a892926303b54d206fc71b21f61feec4f196	"2012-12-17 14:41:42 +0100"	1355751702	0	0	0	0	0	0	0	0	0	0	1	0
acec6cf2f6b0bc6a7ef67acef3ae54e8a3c0254c	"2012-12-17 14:43:28 +0100"	1355751808	0	0	0	0	0	0	0	0	0	0	1	0
284ea0d1a2cd62bfa04e96d8aeadd4cad516ebfa	"2012-12-17 15:14:21 +0100"	1355753661	0	0	0	0	0	0	0	0	0	0	1	0
bfba5c9d28eb9b72d91b43de0f4e51cd3354f3e9	"2012-12-17 15:14:25 +0100"	1355753665	0	0	0	0	0	0	0	0	0	0	1	1
694e3ef709bf228b9c813fd785644b9be0ed7dc4	"2012-12-17 15:14:25 +0100"	1355753665	0	0	0	0	0	0	0	0	0	0	2	0
cfb535f5cbf64c2dd11c88533a62d5ea918ab280	"2012-12-18 12:11:44 +0100"	1355829104	0	0	0	0	0	0	0	5	0	0	0	0
2723e709b16b8ef44c59fd72e2fbbc1b74859d60	"2012-12-19 11:10:32 +0100"	1355911832	0	0	0	0	1	0	0	1	0	0	0	0
a3182d901c258efa975708741dd723df46844cd0	"2012-12-19 11:44:52 +0100"	1355913892	0	0	0	0	0	0	0	2	0	0	0	0
73e3a0808fbc39fc7fcb606ad0fbae64a64eef39	"2012-12-19 12:33:25 +0100"	1355916805	0	0	0	0	4	0	0	1	0	0	0	0
45b264b944e3232c6b729a7d144490a5f33f9300	"2012-12-19 12:41:55 +0100"	1355917315	0	0	0	0	25	0	0	2	0	0	0	0
7d2376c653b808a7e13df7d564e7a6543d8dd54e	"2012-12-19 12:56:18 +0100"	1355918178	0	0	0	0	4	0	0	3	0	0	0	0
bda0c9603a2aa397d790d73b2d2430a6c056a9a9	"2012-12-19 12:57:05 +0100"	1355918225	0	0	0	0	0	0	0	1	0	0	0	0
332467768db32e48e2033e9aab0bdf3abec81a44	"2012-12-19 15:11:47 +0100"	1355926307	0	0	0	0	1	0	0	1	0	0	0	0
