commit_hash	fecha_iso	fecha_timestamp	acceptance_tests_modificados	unit_tests_modificados	codigo_modificados	otro_modificados
c11fd4960afc80dbae2ce973282a8ee441d39850	"2010-01-06 08:45:56 -0600"	1262789156	1	0	1	4
75de9b961339f126a4c1a3843decdf29dd6784c8	"2010-01-10 13:47:33 +0000"	1263131253	0	0	1	0
2dcda5462919cd15911524e49060304b7a818234	"2010-01-11 21:36:52 -0700"	1263271012	0	0	0	1
e2980ce3043d4b70e996c7b7b79187f265f59997	"2010-01-16 10:10:52 +0000"	1263636652	0	0	0	0
d30b5402104f51db3cc2ac1a623d29b348985569	"2010-01-16 11:11:57 +0000"	1263640317	0	2	4	2
536b3b0348a26ab5b9306692aac4e00a975eb237	"2010-01-16 09:27:59 -0600"	1263655679	0	0	0	0
8bf3479aa7d4250aea48b6da36904ffc2ccc1ac8	"2010-01-16 12:44:20 -0600"	1263667460	0	0	1	3
226781bec1be9cc43f84b55140ac584487f1ac59	"2010-01-17 10:09:53 +0100"	1263719393	0	1	0	3
50908d016c4daae060f3cf81263320baebb6a0da	"2010-01-17 10:22:25 +0100"	1263720145	0	0	3	0
84867b724d2334947f212d77a09fa25c523d4ab7	"2010-01-17 07:40:44 -0600"	1263735644	0	0	1	3
da33e71d8c68248067f48dc5760d317078fc16de	"2010-01-17 16:41:32 -0600"	1263768092	0	1	1	0
07aa3972487414825b254acb91fab3b18fd55f16	"2010-01-17 17:50:08 -0600"	1263772208	7	1	2	1
056f6cf351ba6ecb92c55082b5daaa03767de8a7	"2010-01-22 14:24:11 -0700"	1264195451	0	0	1	0
2d05f768ca704bfdf2b3a32cf31d35d37d4f89d1	"2010-01-24 02:21:55 -0500"	1264317715	0	1	4	0
84ab1a6017c1b787f7435466e254aa8cf5ba5b2f	"2010-01-24 12:51:42 -0500"	1264355502	0	0	0	1
531f90e9af946893aa68c9660a81b316120ed563	"2010-01-24 22:28:58 +0100"	1264368538	0	1	0	0
bcb13110ac48090f96f36228954f2a821aadca3c	"2010-01-25 01:05:59 -0600"	1264403159	0	0	1	3
d4c47e2f03349d4e77b3baa454f0e3c035e80838	"2010-01-25 00:15:00 -0700"	1264403700	0	0	0	0
81b6e77f3c6d3074030319c95082fdfd3c16eced	"2010-01-26 22:07:11 +0100"	1264540031	0	0	0	0
daab59eef23b5faf2cab12d0d788d62b285e11ab	"2010-01-26 22:07:30 +0100"	1264540050	0	0	0	0
c4b13a9e1886790fb55dc822086b21bd12b8c22d	"2010-01-26 22:32:28 +0100"	1264541548	0	0	0	0
be4df2754f52a3357b3852f64f41e61792f6110a	"2010-01-27 00:49:16 -0600"	1264574956	0	0	0	0
d5d6fc788684a06e4555172244ae4fd7915937a6	"2010-01-27 00:54:21 -0600"	1264575261	0	0	1	3
c2424ec5007f46b69923b8ca295303209e37778b	"2010-01-28 21:57:40 +0100"	1264712260	0	1	0	0
eeb8e431987dd4825676ab310f315c205d33ed0a	"2010-01-28 22:02:28 +0100"	1264712548	0	0	0	0
72f4cbcbfc371d26d93b237cc33369e755981b30	"2010-01-28 15:15:58 -0600"	1264713358	0	0	0	0
ad74f485b5d2b232f20ac5b2b8660246feb7f55e	"2010-01-28 15:22:11 -0600"	1264713731	0	0	1	3
e90dab41f6bd69ad513b5f5569bcb3e60beaa1c9	"2010-01-29 10:24:43 -0600"	1264782283	0	1	2	4
2d7bd62f11510308ac3952ad78d9824172e62624	"2010-01-29 15:40:46 -0600"	1264801246	0	0	1	0
94adf305a5629e74f4778c7f146f1e3cfc402831	"2010-01-30 22:13:51 +0100"	1264886031	0	0	1	0
0ca2dd25143d6c8fecf98dc802c95dfacd5ee7a6	"2010-01-30 22:14:08 +0100"	1264886048	0	0	0	0
c6da9ae63b33db48376f6c0d17c15726018e4c70	"2010-01-30 23:31:53 +0100"	1264890713	0	1	1	0
2b16526cfa5dd95d76835d2867e0ffaecb78e341	"2010-02-01 14:51:17 +0100"	1265032277	0	1	1	0
d999e761cb873e81cd92506352b2cd60b5fcdff4	"2010-02-01 08:59:47 -0600"	1265036387	0	0	2	3
83a84c65446f1825c6bb8a8946eea436d6b0b48e	"2010-02-01 09:34:40 -0600"	1265038480	0	3	2	3
0f7fa9078187502310d7c44111e86410953f1d57	"2010-02-01 12:27:38 -0600"	1265048858	0	1	1	2
5bd8e4bb663e0dae060d1b0ff600829ef3e1f469	"2010-02-02 19:25:48 -0600"	1265160348	0	2	2	6
f15d67e53f945c700fcca421376d5e9ce909aea0	"2010-02-03 08:59:48 -0600"	1265209188	0	0	3	6
5dd469f5ae46e52cadb5273d9a4d80fdad360f13	"2010-02-03 20:59:46 +0100"	1265227186	0	0	0	0
cd5e72bd536f8d36ac3c45abbef75f70c764a234	"2010-02-03 22:03:07 +0100"	1265230987	0	0	0	0
89230e926ddcfa7aed1933c7e03e4596c3b5a697	"2010-02-05 08:23:23 -0600"	1265379803	0	0	2	3
7eba0125e284440d6e81c759da00cb5d11db2a1e	"2010-02-08 21:39:53 +0100"	1265661593	0	0	0	0
748a4bba7a6ef18718aebd1b01638af4952e8cd3	"2010-02-09 16:15:12 -0600"	1265753712	0	1	2	3
7a3cbe638d78974c7f6b424b5eebc3531b391fb9	"2010-02-16 16:37:30 -0600"	1266359850	1	0	1	5
f740c178924ed1c46cae775581eaebf8ce3e78ed	"2010-02-17 06:22:51 -0600"	1266409371	2	0	2	5
009a396b300c5444c45f11a4d380f979a005e33b	"2010-02-18 15:10:27 +0100"	1266502227	0	0	1	0
