cantidad_commits	tiempo_dias	media_tiempo_horas_entre_commits	media_archivos_at_por_commit	media_archivos_ut_por_commit	media_archivos_codigo_por_commit	media_archivos_modificados_por_commit	tag_desde	tag_hasta
48	32	16	0.7	0.6	1.3	2.6	"20090112"	"20090214"
79	33	10	0.3	4.5	5.4	10.1	"20090214"	"20090321"
100	53	13	0.4	0.8	2.1	3.3	"20090321"	"20090513"
202	95	11	0.5	0.8	2.0	3.3	"20090513"	"20090818"
74	100	33	0.1	0.6	1.5	2.3	"20090818"	"20091121"
88	54	15	0.1	0.5	1.2	1.9	"20091121"	"20100103"
74	55	18	0.2	0.4	0.9	1.5	"20100103"	"20100303"
90	271	73	0.1	1.0	1.9	3.0	"20100303"	"20101101"
131	293	54	0.1	2.4	5.6	8.1	"20101101"	"20110104"
119	430	87	0.1	0.6	1.2	1.9	"20110104"	"20111025"
783	480	15	0.2	0.5	1.7	2.4	"20111025"	"20121220"
490	168	8	0.1	0.8	1.7	2.6	"20121220"	"20130530"
