commit_hash	fecha_iso	fecha_timestamp	acceptance_tests_agregados	acceptance_tests_modificados	acceptance_tests_eliminados	unit_tests_agregados	unit_tests_modificados	unit_tests_eliminados	codigo_agregados	codigo_modificados	codigo_eliminados	otro_agregados	otro_modificados	otro_eliminados
ddef920613d3980f98cdf4afc83b7152f259c713	"2010-08-21 13:11:35 +1200"	1282353095	0	0	0	0	0	0	0	0	0	0	1	0
13698fd0141140162e61070420047ea263b1f038	"2010-09-20 14:26:39 +1200"	1284949599	0	0	0	0	0	0	0	2	0	0	1	0
3f890a59e450a7805ecd4e8eab79afccaca38ae0	"2010-09-22 15:36:26 +1200"	1285126586	0	0	0	0	1	0	0	5	0	2	6	0
ea12c90ed084874d62756daa8d93ff32665c9d93	"2010-12-17 17:42:38 +0300"	1292596958	0	0	0	0	0	0	0	2	0	0	2	0
f9591bc2b19eebaa3bba55cd9aad6d1bfa8c4655	"2010-12-25 19:57:59 +0300"	1293296279	0	0	0	0	0	0	0	2	0	0	2	0
b6082f734fdb33d50f6186bc2abc2265f9c3c64c	"2010-12-27 15:45:22 +0300"	1293453922	0	0	0	0	0	0	1	2	0	2	2	0
2a94c767587a74eb7e076db1b578ba2d58706e70	"2010-12-27 18:47:41 +0300"	1293464861	0	0	0	0	0	0	0	1	0	0	0	0
cf17acde789288dae9e01ea0dddda241efa02023	"2010-12-28 15:15:28 +0300"	1293538528	0	0	0	0	0	0	0	0	0	0	1	0
43c85b5ed8d19670bc67b52ffedeb6444bb41fc3	"2011-01-06 12:16:12 -0600"	1294337772	0	0	0	0	1	0	0	2	0	0	5	0
3fb7026df55c1c8b85a413099dca1ed7b95673c8	"2011-01-06 21:06:46 -0700"	1294373206	0	0	0	0	1	0	0	2	0	0	0	0
1af11fc5726584891d4042c9c0085c77b88696b9	"2011-01-08 15:22:26 -0700"	1294525346	0	0	0	0	1	0	0	1	0	0	0	0
2c10ce4093f0f7ba487ed9ef42cb3278bf42497b	"2011-01-08 16:20:29 -0700"	1294528829	0	0	0	0	1	0	0	2	0	0	0	0
c82e13059cc87643092c95174511da043d1bec43	"2011-01-08 17:44:57 -0700"	1294533897	0	0	0	0	1	0	0	1	0	0	0	0
b9c075efe0c11033ed484b584067f1eacce1a9ad	"2011-01-08 21:25:09 -0700"	1294547109	0	1	0	0	1	0	0	1	0	0	0	0
8633e7012fa0a58a99ceb94653b287ca0d1f5578	"2011-01-11 13:36:25 +0300"	1294742185	0	0	0	0	0	0	0	1	0	0	2	0
d2c8b5b757043ee4d7f215aabbc37d63fae2c0c7	"2011-01-11 13:41:09 +0300"	1294742469	0	0	0	0	0	0	0	0	0	0	0	0
d208188872d1b559aab064891f6d3137ff9f1e07	"2011-01-11 14:28:04 +0300"	1294745284	0	0	0	0	0	0	0	2	0	0	2	0
2dc5d58fee26839d1111ffc55c81ec09af4c47d6	"2011-01-11 14:29:26 +0300"	1294745366	0	0	0	0	0	0	0	0	0	0	0	2
dbb34733dd4dc89acc949d559e16d9d99145bb0a	"2011-01-12 14:27:52 +0300"	1294831672	0	0	0	0	0	0	1	3	0	0	2	0
d96d5fe114b5d1738e9aca6bd6e5b34d55c88063	"2011-01-12 21:19:30 -0700"	1294892370	0	0	0	0	1	0	0	4	0	0	0	0
8a652b2b6ed93326a4d004f0ab1604969302b467	"2011-01-15 00:20:19 +1300"	1295004019	0	0	0	0	0	0	0	0	0	0	0	0
905b471d4788268295c4c29a0933e4ef5bdeb205	"2011-01-15 00:40:05 +1300"	1295005205	0	0	0	0	0	0	0	0	0	0	0	0
db4a2b2a645906bc13d20ba3f80c78907610f26b	"2011-01-15 20:46:06 +1300"	1295077566	0	2	0	0	2	0	0	3	0	0	5	0
812cf841b46d5a12b2112450a9f0c388a5120fa7	"2011-01-15 21:37:39 +1300"	1295080659	0	0	0	0	2	0	0	1	0	0	1	0
2dbcd0a9e6f83c72cfe9cedf6f863bd6bf35b351	"2011-01-15 22:36:22 +1300"	1295084182	0	3	0	0	5	0	0	4	0	0	3	0
840c0b17ee4e11229a4229ec056263e14d1ef0fd	"2011-01-15 23:22:41 +1300"	1295086961	0	0	0	0	1	0	0	1	0	0	0	0
1ac37a12197bfc8482920adaf7a0088ed777f79c	"2011-01-16 10:44:37 +1300"	1295127877	2	0	0	0	0	0	0	0	0	3	1	0
aecf33fdacf49d2476e0bec33b3ea9a7b3902409	"2011-01-15 17:19:11 -0700"	1295137151	0	0	0	0	1	0	0	1	0	0	0	0
9a04cc0f34b1b983e26e58526a3d594b18b98050	"2011-01-18 20:46:43 +1300"	1295336803	0	0	0	1	2	0	5	6	0	5	1	0
f08d38c257960a1a7f855f896fe68970e45b7b1c	"2011-01-20 16:55:11 -0700"	1295567711	0	0	0	0	1	0	0	1	0	0	0	0
e020181815e9398583764c8edbe22faad750c3a7	"2011-01-29 11:12:07 -0700"	1296324727	0	0	0	0	2	0	0	1	0	0	0	0
b215b11d298c0e36c080819b75038987ab3644d5	"2011-02-05 17:37:41 -0700"	1296952661	0	0	0	0	1	0	0	1	0	0	0	0
4d56554441d4536a0356db7a2143ab7f14759f15	"2011-02-16 22:39:54 +0000"	1297895994	0	0	0	0	0	0	0	2	0	0	0	0
