commit_hash	fecha_iso	fecha_timestamp	acceptance_tests_modificados	unit_tests_modificados	codigo_modificados	otro_modificados
9ccccf64af90d7d3f9c00cb7920a1f0733794a34	"2009-03-21 13:07:08 -0500"	1237658828	0	0	0	2
a4625be46b16f79a49535abb93e86acde1ecad2a	"2009-03-23 00:23:53 +1300"	1237721033	0	1	5	3
e8d3c14f8ae406d40243ef4c572cea23dfa7bfc1	"2009-03-25 21:42:41 -0500"	1238035361	0	0	2	5
27635bcde96fbb65e3a08f173c1ec563a97d107a	"2009-03-25 23:59:44 -0500"	1238043584	0	0	0	0
6e10c889a550fa7f4954383faf3f67f7188c0890	"2009-03-26 21:52:51 +1300"	1238057571	0	0	0	0
e1f3c5cea0132f7d33e3c0c35972b9149738e275	"2009-03-27 12:50:59 -0500"	1238176259	3	0	0	42
5c5f95228ad5649c55c917a155c0247e9fae372f	"2009-03-28 10:13:52 -0500"	1238253232	0	0	0	7
058621bcccd91fdec2041d2a6ef646c94cc785e1	"2009-03-30 05:18:02 -0500"	1238408282	1	5	15	10
c24556b4acbb4198c3ccc35eb9bc3884279c9ef8	"2009-03-30 22:24:40 -0500"	1238469880	1	9	31	0
7395c0dcaa4aa97735ad4ae68f5433ffcc5b7f66	"2009-03-30 23:33:48 -0500"	1238474028	0	0	0	0
d707b45a895d5599b514df7702fe04445b7ee1a3	"2009-03-31 04:14:29 -0500"	1238490869	0	0	1	8
50815cf78131af5908d06815baf304d81116e52c	"2009-03-31 04:21:00 -0500"	1238491260	0	0	0	0
26f5d83589d5c2ea36c8ba9864c8dcd5816f154f	"2009-03-31 04:29:39 -0500"	1238491779	0	0	0	0
3d150591ac652a115e222b3d33ee06e77c34eb1a	"2009-03-31 05:54:54 -0500"	1238496894	0	0	2	1
acd4fcda8e2ca4fceab30ebd235c838c1c54c41a	"2009-03-31 07:25:17 -0500"	1238502317	0	0	1	2
3106846fa8748a7c5d7b9dfc3fea13511573a652	"2009-04-01 00:30:31 +0800"	1238517031	0	0	0	7
54aaf4240a1c043e05d13bcd08535b1fe55ca2c1	"2009-04-01 00:30:35 +0800"	1238517035	0	0	1	8
f616916056b0834eec1010a5311db0a3130cface	"2009-04-01 00:30:37 +0800"	1238517037	0	0	2	1
f72626644c5de91a205d395199e17f06f724ce7a	"2009-03-31 19:52:21 -0500"	1238547141	0	1	1	3
c42fe1af29c4adc8346c92447c8904817562d2e0	"2009-04-02 12:48:55 -0500"	1238694535	0	2	4	8
32a2db0219c1c2e64cc3670b301a1486074eb709	"2009-04-03 11:58:03 +1300"	1238713083	0	0	4	2
3d8d615ec50053c20baee87a869dea3289d4dec2	"2009-04-03 12:23:48 +1300"	1238714628	0	1	1	1
7cbc86df77c612dcf59ade9e08b71d0fe29706ad	"2009-04-02 22:21:37 -0500"	1238728897	0	1	1	0
47c00ec495bb8d348236363fce94d5217195b07e	"2009-04-02 23:35:24 -0500"	1238733324	0	0	0	0
9d087a67cb88b31b8a7faa5b6e8542a9af7b18cf	"2009-04-03 00:15:41 -0500"	1238735741	0	1	3	5
d20ad095d7e9fc62eb8eca614fd2a81a7f8643e2	"2009-04-03 06:50:04 -0500"	1238759404	0	1	3	5
23266398bb3131e4233041319ee322e7ed0c930d	"2009-04-03 09:45:03 -0500"	1238769903	0	0	0	2
314a08c634a076a03878f3336660178f07aea71f	"2009-04-04 14:15:33 -0500"	1238872533	0	0	3	9
561ae2c13f77b4e61d431c3c5ac352c947510f96	"2009-04-05 13:19:30 -0500"	1238955570	5	5	9	7
cde49e2d7109d5e0319de7058aaa7343f8581fde	"2009-04-05 21:46:46 +0200"	1238960806	0	0	0	2
3ad39ceadef54d9c17fad43207a3d740e4d03ca4	"2009-04-06 22:09:02 +1200"	1239012542	0	1	1	1
51d5f08d65903c114db90fcf4bc864cfcbc441b6	"2009-04-06 18:46:54 +0200"	1239036414	0	0	0	0
aaa28cc20aa66f74ababf1f0f780ecd1df8b5e30	"2009-04-06 18:06:04 -0700"	1239066364	0	0	0	1
5a8387cdefb68ec88891d44cd514ac911cc902b5	"2009-04-07 12:19:27 -0500"	1239124767	0	0	0	2
a2c60a1cd464a4ffbfd9577574ce554ab5d7fcd6	"2009-04-07 21:15:13 +0200"	1239131713	0	0	0	0
