acceptance_tests_agregados	acceptance_tests_modificados	acceptance_tests_eliminados	unit_tests_agregados	unit_tests_modificados	unit_tests_eliminados	codigo_agregados	codigo_modificados	codigo_eliminados	otro_agregados	otro_modificados	otro_eliminados	tag
6	82	0	15	237	11	20	445	12	39	174	81	"20090214"
4	22	4	21	364	14	39	443	24	31	209	46	"20090321"
42	35	17	7	88	12	19	214	20	686	252	1339	"20090513"
46	105	9	37	171	15	69	408	24	99	317	36	"20090818"
7	12	0	6	49	2	15	114	2	33	117	10	"20091121"
14	20	0	12	47	6	36	115	25	50	124	9	"20100103"
12	14	1	9	32	3	10	73	3	16	103	8	"20100303"
14	7	8	13	98	5	10	175	5	24	173	14	"20101101"
2	17	0	79	320	41	162	735	89	2	25	0	"20110104"
5	16	2	9	69	3	17	152	7	21	117	15	"20111025"
13	128	2	14	412	53	42	1354	71	317	763	268	"20121220"
16	47	10	52	383	39	105	841	97	37	250	49	"20130530"
