commit_hash	fecha_iso	fecha_timestamp	acceptance_tests_agregados	acceptance_tests_modificados	acceptance_tests_eliminados	unit_tests_agregados	unit_tests_modificados	unit_tests_eliminados	codigo_agregados	codigo_modificados	codigo_eliminados	otro_agregados	otro_modificados	otro_eliminados
de5520f8d5af38e092af92c42cbff093fd5ce674	"2012-09-19 11:41:54 +0300"	1348044114	0	0	0	0	0	0	0	0	0	0	1	0
a4401451121edad773a5b2debfce10ffbd2c9c47	"2012-09-19 18:53:18 +0300"	1348069998	0	0	0	0	0	0	0	0	0	0	4	0
40fe6d15f469ca81364b05f4dd63587c307f50d0	"2012-09-20 03:09:19 +0300"	1348099759	0	0	0	0	0	0	0	0	0	0	1	0
88c0901b2d2b27692c4fd54dd6537718ec3c9a0f	"2012-09-20 10:56:44 +0300"	1348127804	0	0	0	0	0	0	0	3	0	0	2	0
8800cd920bb700cd10dfed7cbe587ae9694cbabc	"2012-09-20 11:01:24 +0300"	1348128084	0	0	0	0	0	0	0	0	0	0	1	0
e331d9b81d728136f969dc1b9eab5132d1a9e9a7	"2012-09-21 01:29:06 +0300"	1348180146	0	0	0	0	0	0	0	1	0	0	0	0
dcd487fcf32a3a5d3d1accbbc3dc13fcde442bf2	"2012-09-21 22:45:31 +0300"	1348256731	0	0	0	0	0	0	0	0	0	0	1	0
43fff6f5bc8c7d45b9441cbed2fe0f13b831f92b	"2012-09-24 00:38:57 +0300"	1348436337	0	0	0	0	0	0	0	0	0	0	1	0
cf65495a836bcf34bffbbc2e1121e81e78093c0b	"2012-09-25 23:35:19 +0300"	1348605319	0	0	0	0	0	0	0	0	0	0	2	0
8deb78c66352e2d903dbd1fa4bcb4f44a85bb652	"2012-09-29 14:12:05 +0300"	1348917125	0	0	0	0	0	0	0	0	0	0	2	0
cb18a36f7a47bbfd78d6b43bb456c26ad503a53f	"2012-10-28 12:14:21 +0200"	1351419261	0	0	0	0	0	0	0	0	0	0	1	0
9ea4cb241f9d1f196e923fed0b15c5705c56bbce	"2012-10-28 13:27:55 +0200"	1351423675	0	0	0	0	0	0	0	0	0	1	14	0
e5d89ee7b8dd4f9b2c457e898cdf210cd3684612	"2012-10-28 13:40:43 +0200"	1351424443	0	1	0	0	0	0	0	0	0	0	7	147
30b9beb5117217030754e116c92652e367b61a42	"2012-10-28 14:29:10 +0200"	1351427350	0	0	0	0	0	0	0	0	0	0	1	0
44bdabb0fe431ce7efa054a3ca8b7ef97de9702b	"2012-11-29 22:46:08 +0200"	1354221968	0	0	0	0	0	0	0	0	0	0	1	0
9cd44548b76e6a2b40e1419d04c41e6969601b1d	"2012-12-06 13:47:41 +0200"	1354794461	0	0	0	0	0	0	0	0	0	0	9	0
fcdfafe76e619de441c4c082f79a50254587dca5	"2012-12-15 16:00:07 +0200"	1355580007	0	0	0	0	0	0	0	0	0	0	1	0
2fb8df6366ca2231d62fc8af300250cbd7b152d8	"2012-12-15 17:43:08 +0200"	1355586188	0	0	0	0	0	0	0	0	0	0	1	0
401b044a5820b25416faecafb7533928709363b4	"2012-12-20 14:30:29 +0200"	1356006629	0	0	0	0	0	0	0	0	0	0	1	0
15fc738cec7f7f42c0042b15ba14cbee3aef2a72	"2012-12-22 21:52:11 +0200"	1356205931	0	0	0	0	0	0	0	0	0	0	1	0
